REGULATOR	REGULATED	EFFECT
PhoP	slyB	Activator
HilC	invF	Activator
HilC	prgHIJK	Activator
SirA	hilC	Activator
SirA	hilD	Activator
FlhD	flhDC	Activator
FlhD	ecnR	Activator
HilD	flhDC	Activator
FruR	fruR	Activator
YdcI	ydcI	Activator
FlhDC	fliA	Activator
FlhDC	fliZ	Activator
NorR	hmpA	Activator
NorR	ytfE	Activator
NorR	ygbA	Activator
NorR	yeaR	Activator
NorR	yoaG	Activator
NsrR	hmpA	Activator
NsrR	yoaG	Activator
CreB	pta	Activator
Fur	dmsA	Activator
cAMP-CRP	flhDC	Activator
PhoP	slrP	Activator
HilC	slrP	Activator
HilD	slrP	Activator
RtsA	slrP	Activator
LeuO	hilE	Activator
PhoP	steA	Activator
PhoP	orgB	Activator
LeuO	slrP	Activator
HilD	lacZ	Activator
PhoP	rrs	Activator
PhoP	rpoS	Activator
PhoP	hns	Activator
SlyA	pcgL	Activator
SlyA	virK	Activator
PhoP	mig14	Activator
SlyA	mig14	Activator
PhoP	mig	Activator
PhoP	rstA	Activator
H-NS	pagC	Activator
H-NS	nor	Activator
H-NS	hns	Activator
H-NS	orgB	Activator
IHF	csgD	Activator
PhoP	pliC	Activator
PhoP	envE	Activator
PhoP	envF	Activator
PhoP	msgA	Activator
StpA	hns	Activator
StpA	proV	Activator
PhoP	pagA	Activator
PhoB	pstS	Activator
PhoB	hilE	Activator
FimZ	pstS	Activator
PhoB	fimZ	Activator
FimZ	fimZ	Activator
LysR	hilE	Activator
FimZ	hilA	Activator
PhoP	pagM	Activator
PhoP	pagO	Activator
PhoP	pagP	Activator
PhoP	pgtE	Activator
PhoP	yobG	Activator
CpxR	cpxP	Activator
CpxR	rpoE	Activator
FlhD	cap	Activator
FliZ	cap	Activator
RpoS	hupA	Activator
RpoS	hupB	Activator
RpoS	corA	Activator
RpoS	trkH	Activator
RpoS	ydgP	Activator
RpoS	STM2303	Activator
DksA	uspA	Activator
DksA	sipC	Activator
RpoS	sipC	Activator
RpoS	lacZ	Activator
ZntR	zntA	Activator
H-NS	flhDC	Activator
Fur	flhDC	Activator
FimZ	fimH	Activator
FimZ	fimW	Activator
FlhDC	ydiV	Activator
Hha	fepD	Activator
Hha	fepB	Activator
Hha	fepG	Activator
Hha	entS	Activator
Hha	stpA	Activator
Crl	lacZ	Activator
Crl	rpoS	Activator
RpoS	qor	Activator
Rho	corA	Activator
DksA	dksA	Activator
DksA	fliA	Activator
DksA	flhD	Activator
FliZ	hilD	Activator
SsrB	ssrAB	Activator
EutR	ssrB	Activator
Lrp	stpA	Activator
FruR	pps	Activator
OmpR	ompR	Activator
SlyA	virB	Activator
SsrB	csgD	Activator
OmpR	ssrA	Activator
PhoP	ssrA	Activator
SsrB	ssrA	Activator
CsgD	csgDEFG	Activator
SsrB	sifA	Activator
SsrB	ssaB	Activator
SsrB	ssaM	Activator
H-NS	sifA	Activator
H-NS	ssaB	Activator
H-NS	ssaM	Activator
H-NS	sseA	Activator
H-NS	ssaG	Activator
H-NS	csgD	Activator
FadD	fadD	Activator
SsrB	trxA	Activator
FadR	fabA	Activator
FadR	fabB	Activator
FabR	fabR	Activator
FabR	fabB	Activator
CpxR	cpxR	Activator
HilD	STM1329	Activator
HilD	STM1330	Activator
HilD	STM1854	Activator
HilD	STM2585	Activator
HilD	yneC	Activator
SsrB	STM1329	Activator
SsrB	STM1330	Activator
SsrB	STM1854	Activator
SsrB	STM2585	Activator
SsrB	yneC	Activator
Fur	fhuA	Activator
RtcR	rtcBA	Activator
RtcR	STM0571	Activator
RtcR	STM0652	Activator
RtcR	STM2361	Activator
HilD	lpxR	Activator
H-NS	siiA	Activator
HilD	mcpC	Activator
HilD	ssaG	Activator
RtsA	invF	Activator
InvF	STM1239	Activator
InvF	sopB	Activator
InvF	sicA	Activator
HilD	sprB	Activator
HilC	sprB	Activator
CsgD	bcsZ	Activator
FruR	acrD	Activator
IlvY	ilvC	Activator
HilD	gtgE	Activator
HilD	phoH	Activator
HilD	sinR	Activator
HilD	cat	Activator
SlyA	lpxR	Activator
PhoB	phoH	Activator
H-NS	phoH	Activator
HilD	slyA	Activator
cAMP-CRP	crp	Activator
GatR	gatZ	Activator
GatR	gatR	Activator
CRP	gatY	Activator
CRP	gatZ	Activator
CRP	gatR	Activator
PhoP	efp	Activator
CsrA	csrA	Activator
BaeR	spy	Activator
CpxR	spy	Activator
EutR	eutS	Activator
EutR	eutR	Activator
STM3602	prgH	Activator
STM3602	ssaG	Activator
STM3602	sseJ	Activator
STM3602	phnA	Activator
NtrC	relA	Activator
LysR	lysA	Activator
CRP	malT	Activator
FhlA	fdhF	Activator
HilD	ssrAB	Activator
ArcA	cydA	Activator
Fnr	hilA	Activator
LrhA	leuO	Activator
YdiV	STM1344	Activator
YdiV	STM1697	Activator
FlhD	STM1344	Activator
FlhD	STM1697	Activator
SsrB	hilA	Activator
SsrB	cat	Activator
CspC	grxC	Activator
CspC	cspC	Activator
CspC	osmY	Activator
CspC	rfaQ	Activator
CadC	cadC	Activator
CRP	ompF	Activator
CRP	ompA	Activator
CRP	acrB	Activator
Lrp	flhDC	Activator
QseB	flhDC	Activator
RcsB	rprA	Activator
Mlc	hilD	Activator
Mlc	invF	Activator
CadC	fliC	Activator
FlhDC	fliC	Activator
FlhDC	fljB	Activator
FliA	fljB	Activator
CsrA	flhC	Activator
CsrA	flhD	Activator
SsrB	srfJ	Activator
PhoP	sseL	Activator
HilE	hilA	Activator
HilE	hilD	Activator
HilC	lacZ	Activator
Mlc	hilE	Activator
PhoP	hilE	Activator
HilD	fliZ	Activator
H-NS	rpoS	Activator
CsgD	rpoS	Activator
H-NS	csgBA	Activator
CsgD	iraP	Activator
H-NS	csgB	Activator
PhoB	phoU	Activator
PhoB	phoB	Activator
PhoB	mgtA	Activator
PhoB	mgtB	Activator
PhoB	mgtC	Activator
BolA	bolA	Activator
GcvA	gcvB	Activator
GcvR	gcvB	Activator
OmpR	pgtE	Activator
MarR	ssrAB	Activator
SlyA	ssrAB	Activator
PhoP	ssrAB	Activator
PhoP	cat	Activator
HilD	phoP	Activator
H-NS	cat	Activator
HilD	orgBC	Activator
PhoP	orgBC	Activator
FlhD	fliL	Activator
RcsB	rpoE	Activator
PhoP	yeiR	Activator
PmrA	phoP	Activator
HilA	sicA	Activator
AraC	invF	Activator
AraC	sicA	Activator
PhoP	cigR	Activator
PhoP	amgR	Activator
CpxR	scsA	Activator
CpxR	scsB	Activator
CpxR	scsC	Activator
CpxR	scsD	Activator
YdcI	arcA	Activator
ArcA	sipC	Activator
ArcA	hilA	Activator
ArcA	ompD	Activator
ArcA	ompF	Activator
ArcA	ompW	Activator
ArcA	rtcA	Activator
RtcR	rtcA	Activator
NtrC	glnK	Activator
NtrC	rtcA	Activator
RtcR	rtcR	Activator
RtcR	rtcB	Activator
NtrC	glnA	Activator
OmpR	tppB	Activator
OmpR	lpp	Activator
FlhD	tetA	Activator
ArcA	lacZ	Activator
SlyA	rcsB	Activator
OmpR	narZ	Activator
OmpR	narW	Activator
OmpR	narV	Activator
OmpR	yciF	Activator
SsrB	tag	Activator
LldR	lldD	Activator
Nlp	STM2475	Activator
Nlp	STM3775	Activator
CpxR	hilA	Activator
CpxR	cpxA	Activator
CpxR	eco	Activator
CpxR	ssrB	Activator
CpxR	tatA	Activator
H-NS	ssrAB	Activator
PhoP	ssaG	Activator
EmrR	ugtL	Activator
PhoP	sifB	Activator
SlyA	sifB	Activator
PhoP	STM3595	Activator
EmrR	slyA	Activator
EmrR	phoPQ	Activator
EmrR	pagC	Activator
EmrR	pagD	Activator
EmrR	ssrA	Activator
EmrR	emrR	Activator
CspE	yciF	Activator
FimY	fimZ	Activator
FliA	STM1924.S	Activator
FlhD	STM1924.S	Activator
FlhC	STM1924.S	Activator
H-NS	hilD	Activator
OmpR	csgD	Activator
MlrA	csgD	Activator
RstA	csgD	Activator
MarR	pagC	Activator
SprB	slrP	Activator
SprB	ugtL	Activator
HilD	ugtL	Activator
SprB	cat	Activator
H-NS	sprB	Activator
SlyA	slrP	Activator
SprB	sifB	Activator
SprB	yhgE	Activator
SprB	yibP	Activator
H-NS	yaeB	Activator
MarA	flhDC	Activator
Rob	marA	Activator
RamA	fliC	Activator
SoxS	flhDC	Activator
MarA	fliC	Activator
SoxS	fliC	Activator
Rob	fliC	Activator
RamA	aph	Activator
LexA	hilA	Activator
AraC	hilD	Activator
AraC	hilC	Activator
RpoS	virK	Activator
RpoS	soxS	Activator
RpoS	tolC	Activator
H-NS	lon	Activator
PhoP	ycjE	Activator
RcsB	rcsC	Activator
RcsB	barA	Activator
RcsB	sirA	Activator
TorR	torCAD	Activator
FliA	dsbA	Activator
FliA	fliZ	Activator
FlhD	flhD	Activator
FlhD	flhC	Activator
SlyA	hlyE	Activator
SlyA	pagP	Activator
SlyA	fimB	Activator
SlyA	dksA	Activator
SlyA	hns	Activator
SlyA	fis	Activator
SlyA	cyaA	Activator
Fis	fis	Activator
IHF	dps	Activator
PmrA	basS	Activator
PmrA	pmrB	Activator
Hu	STM1530	Activator
SsrB	phoP	Activator
SsrB	ugtL	Activator
PhoP	nor	Activator
SsrB	phoQ	Activator
H-NS	sopB	Activator
InvF	sptP	Activator
InvF	sopE2	Activator
InvF	cat	Activator
FliA	sdiA	Activator
FliA	lacZ	Activator
FliA	fliA	Activator
FliA	ybeM	Activator
FliA	ycgO	Activator
FliA	STM1300	Activator
FliA	ynjH	Activator
SdiA	fliA	Activator
PhoP	cobB	Activator
RtcR	lacZ	Activator
HilA	flhDC	Activator
FliA	mcpC	Activator
RpoS	phoP	Activator
CpxR	yccA	Activator
CpxR	ppiA	Activator
CpxR	htpX	Activator
CpxR	acrD	Activator
PhoR	mgtC	Activator
CRP	ptsN	Activator
HilD	ptsN	Activator
YeiE	STM1697	Activator
RpoS	yciE	Activator
RpoS	yjbE	Activator
PhoP	mgrB	Activator
PhoP	clpS	Activator
H-NS	ugtL	Activator
PhoP	spiR	Activator
PhoP	fljB	Activator
PhoP	fljA	Activator
PhoP	iraP	Activator
PhoP	orgC	Activator
PhoP	lpxO	Activator
PhoP	cutF	Activator
PhoP	atpD	Activator
SsrB	phoPQ	Activator
EvgA	safA	Activator
SsrB	purB	Activator
RpoS	iraP	Activator
STM0859	hilD	Activator
AraC	araBAD	Activator
AraC	araE	Activator
H-NS	prgH	Activator
H-NS	lacZ	Activator
RtsA	tetA	Activator
HU	srfC	Activator
PhoP	cheR	Activator
RpoS	ssrAB	Activator
Crl	ssrA	Activator
OmpR	ompF	Activator
OmpR	ompC	Activator
DksA	sopA	Activator
DksA	sopE	Activator
DksA	sopE2	Activator
DksA	steB	Activator
DksA	pagC	Activator
DksA	pagD	Activator
DksA	phoP	Activator
DksA	argX	Activator
DksA	rpoE	Activator
DksA	hilA	Activator
STM0859	rcsB	Activator
STM0859	STM0859	Activator
RstA	hilA	Activator
IHF	ihfA	Activator
IHF	ihfB	Activator
CpxR	cat	Activator
FliZ	invF	Activator
PhoR	phoH	Activator
H-NS	mgtC	Activator
PhoR	phoE	Activator
FadR	fljB	Activator
FadR	fljA	Activator
CRP	fliA	Activator
OxyR	mntH	Activator
STM0347	fliC	Activator
STM0347	fljB	Activator
STM0347	hin	Activator
STM0363	foxA	Activator
AraC	foxA	Activator
CpxR	tatABC	Activator
PspF	pspF	Activator
SirA	lacZ	Activator
PspF	tatABC	Activator
PspF	lacZ	Activator
CpxR	ssrAB	Activator
HilA	hilD	Activator
PhoP	marA	Activator
CpxR	marA	Activator
PhoP	crp	Activator
FimY	fimA	Activator
RtcR	xylE	Activator
RtcR	rpoS	Activator
RtcR	map	Activator
YhjC	spvD	Activator
YhjC	zraP	Activator
YhjC	csgD	Activator
YhjC	iroC	Activator
YhjC	iroD	Activator
YhjC	iroE	Activator
YhjC	mgtC	Activator
YhjC	mgtA	Activator
Cra	fbp	Activator
Cra	ppsA	Activator
Cra	ptsHI	Activator
RamA	adhP	Activator
NorR	norW	Activator
MntR	mntP	Activator
MntR	mntH	Activator
OxyR	sitABCD	Activator
Fur	mntP	Activator
CadC	STM0014	Activator
Fnr	phoP	Activator
Fnr	phoPQ	Activator
PhoP	lon	Activator
RpoS	waaZ	Activator
RpoS	sthC	Activator
RpoS	tviB	Activator
RpoS	ssrA	Activator
SsrB	STM4426	Activator
InvF	sipB	Activator
OmpR	cadA	Activator
LysR	tcuABC	Activator
SsrB	sspH2	Activator
ArcA	arcA	Activator
RpoS	oxyR	Activator
CspC	rpoS	Activator
IscR	dctA	Activator
DcuR	sdhC	Activator
RbsR	rpoS	Activator
DcuR	dctA	Activator
RamA	gatR	Activator
MarT	misL	Activator
MarT	mgtB	Activator
MarT	acrR	Activator
RpoS	ubiCA	Activator
RpoS	pfkB	Activator
RpoS	fbaB	Activator
RpoS	tktB	Activator
RpoS	talA	Activator
RpoS	acnA	Activator
RpoS	poxB	Activator
RpoS	ldhA	Activator
RpoS	iraD	Activator
RpoS	sitABCD	Activator
RpoS	sufABCDS	Activator
RpoS	bfr	Activator
RpoS	ftnB	Activator
CRP	ptsG	Activator
CRP	cyaA	Activator
CRP	gntT	Activator
CRP	glpK	Activator
PhoP	dnaK	Activator
PhoP	rpoH	Activator
HilD	ssrB	Activator
SirA	ssrB	Activator
CysB	cysK	Activator
CysB	cysP	Activator
NadR	nadB	Activator
NadR	pnuC	Activator
RpoS	fimA	Activator
CelD	fimA	Activator
OxyR	fimA	Activator
SpvR	spy	Activator
RpoS	stiA	Activator
RpoS	stiC	Activator
RpoS	spoT	Activator
RpoS	stiB	Activator
Ada	alkB	Activator
Ada	aidB	Activator
Ada	alkA	Activator
FliA	flgM	Activator
LysR	spvABCD	Activator
SpvR	spvR	Activator
SpvR	lacZ	Activator
SpvR	rpoS	Activator
RpoS	spvB	Activator
RpoS	spvABCD	Activator
SpvR	spvA	Activator
RpoS	spvA	Activator
MarR	marRAB	Activator
H-NS	spvB	Activator
SpvR	spvAB	Activator
SpvR	hns	Activator
PhoP	pmrAB	Activator
PmrA	pagA	Activator
RpoS	katE	Repressor
MviA	katE	Repressor
PhoP	phoP	Repressor
SirA	sirC	Repressor
InvF	sirC	Repressor
FimW	fimA	Repressor
FimW	lacZ	Repressor
CsrA	csrB	Repressor
MarR	marRAB	Repressor
SirA	flhDC	Repressor
HilD	hilA	Repressor
HilA	invF	Repressor
HilA	prgH	Repressor
H-NS	spvR	Repressor
Crp	spvR	Repressor
Lrp	spvR	Repressor
RpoS	spvR	Repressor
Lrp	nor	Repressor
IHF	ilvBN	Repressor
Fur	fur	Repressor
Fur	cat	Repressor
Fur	hemA	Repressor
OxyR	hemA	Repressor
Fur	sdiA	Repressor
Zur	znuA	Repressor
Zur	znuCB	Repressor
Fur	znuA	Repressor
Fur	znuCB	Repressor
HilA	hilA	Repressor
STM4068	purF	Repressor
PocR	pocR	Repressor
MarA	soxS	Repressor
PhoP	pmrD	Repressor
PmrA	pmrD	Repressor
GlpR	glpD	Repressor
LsrR	glpD	Repressor
AcrR	acrAB	Repressor
H-NS	virG	Repressor
H-NS	virB	Repressor
CRP	luxS	Repressor
CsgD	pepD	Repressor
NikR	nikR	Repressor
NikR	tonB	Repressor
Crl	csgB	Repressor
Fur	hmp	Repressor
Fnr	hmp	Repressor
Fur	lacZ	Repressor
Crl	rpoS	Repressor
Crl	crl	Repressor
RpoS	rpoS	Repressor
RtsB	flhDC	Repressor
HilE	hilA	Repressor
PhoP	hilA	Repressor
PhoP	hilE	Repressor
PhoR	hilA	Repressor
PhoR	hilE	Repressor
PhoB	hilA	Repressor
PhoB	hilE	Repressor
Mlc	hilE	Repressor
Fur	sitABCD	Repressor
Fur	ryhB	Repressor
HilD	fur	Repressor
CsrA	hilD	Repressor
Fur	sodB	Repressor
STM4314	flhDC	Repressor
FlhD	flhDC	Repressor
FliZ	flhDC	Repressor
FliZ	flhC	Repressor
DnaA	dnaA	Repressor
DicA	STM2628	Repressor
Fur	rfaL	Repressor
Fur	flhD	Repressor
HdfR	flhDC	Repressor
LysR	flhDC	Repressor
HilC	nor	Repressor
RtsA	nor	Repressor
STM4417	STM4417	Repressor
Lrp	hilA	Repressor
Lrp	invF	Repressor
Lrp	ssrA	Repressor
Lrp	spvABCD	Repressor
Lrp	hilD	Repressor
InvF	lacZ	Repressor
Lrp	lrp	Repressor
CsrA	hilA	Repressor
Hha	hilA	Repressor
H-NS	hilA	Repressor
SlyA	ugtL	Repressor
SlyA	pagC	Repressor
PhoP	ugtL	Repressor
PhoP	pagC	Repressor
H-NS	pagC	Repressor
H-NS	phoP	Repressor
PhoP	hns	Repressor
H-NS	pagD	Repressor
SsrB	ssrB	Repressor
H-NS	slyA	Repressor
CsgD	STM3611	Repressor
CsgD	STM1344	Repressor
CsgD	STM4264	Repressor
CsrA	STM1344	Repressor
PhoP	invA	Repressor
PhoP	pipD	Repressor
PhoP	nmpC	Repressor
PhoP	mgtC	Repressor
LacI	pspA	Repressor
HilA	fis	Repressor
HilA	hha	Repressor
STM0341	ygaT	Repressor
STM0341	STM2779	Repressor
STM0341	STM0342	Repressor
Fur	crl	Repressor
NsrR	hcp	Repressor
NsrR	hcr	Repressor
H-NS	yciGFE	Repressor
H-NS	katN	Repressor
H-NS	lacZ	Repressor
H-NS	hns	Repressor
YncC	katE	Repressor
H-NS	katE	Repressor
TviA	flhDC	Repressor
TviA	tviA	Repressor
CysB	cysJIH	Repressor
LexA	lexA	Repressor
LexA	umuDC	Repressor
LexA	dinP	Repressor
YdiV	ydiV	Repressor
CsrA	ydiV	Repressor
YdiV	fliZ	Repressor
YdiV	yhjH	Repressor
YdiV	fliA	Repressor
YdcI	ydcI	Repressor
YdcI	lacZ	Repressor
PefI	hha	Repressor
PefI	ydgT	Repressor
Fnr	frdABCD	Repressor
MetR	metA	Repressor
MetR	metH	Repressor
OmpR	ompF	Repressor
OmpR	ompC	Repressor
HilD	ssrA	Repressor
HilD	ssrB	Repressor
HilD	ompR	Repressor
H-NS	ssrAB	Repressor
H-NS	ssrA	Repressor
H-NS	ssrB	Repressor
H-NS	ompR	Repressor
CsgD	STM2503	Repressor
CsgD	STM1703	Repressor
Rho	mgtA	Repressor
Rho	ribB	Repressor
LysR	ynfL	Repressor
SdiA	sdiA	Repressor
MarA	rob	Repressor
SoxS	rob	Repressor
SoxS	marA	Repressor
Rob	marA	Repressor
Rob	soxS	Repressor
MarR	marA	Repressor
NsrR	hmp	Repressor
NsrR	ygbA	Repressor
NsrR	ytfE	Repressor
NsrR	invA	Repressor
Fnr	ygbA	Repressor
YdiV	fliC	Repressor
FlhC	ydiV	Repressor
PmrA	pbgP	Repressor
PmrA	ssrB	Repressor
PmrA	pmrA	Repressor
PmrA	ssaG	Repressor
SsrB	sciS	Repressor
PhoP	ssrB	Repressor
PhoP	virK	Repressor
FadR	fadL	Repressor
FadR	fadD	Repressor
FadR	fadBA	Repressor
PhoP	phoPQ	Repressor
PhoP	fadL	Repressor
PhoP	fadBA	Repressor
LsrR	flhD	Repressor
Lrp	ompC	Repressor
IHF	hilA	Repressor
IHF	invF	Repressor
STM4463	STM2186	Repressor
STM4463	guaA	Repressor
STM4463	STM4464	Repressor
STM4463	STM4467	Repressor
STM4463	yggA	Repressor
CsrA	fimAICDHF	Repressor
SirA	fimAICDHF	Repressor
CsrA	flhD	Repressor
CsrA	fliC	Repressor
CsrA	pefA	Repressor
OmpR	ssrA	Repressor
OmpR	ssrB	Repressor
YfhA	sciS	Repressor
YfhA	rcsB	Repressor
RcsB	flhDC	Repressor
TviA	fliC	Repressor
TviA	fljB	Repressor
EcnR	flhDC	Repressor
LrhA	flhDC	Repressor
YdiV	flhDC	Repressor
RpoS	flhDC	Repressor
HilD	flhDC	Repressor
FlhD	fliT	Repressor
FlhD	ydiV	Repressor
Fis	rpoA	Repressor
Fis	fis	Repressor
Fis	priB	Repressor
Fur	pfkA	Repressor
FliZ	ydiV	Repressor
FlhD	fliZ	Repressor
PmrA	yrbL	Repressor
PhoP	rstA	Repressor
PhoP	pcgL	Repressor
H-NS	pcgL	Repressor
H-NS	virK	Repressor
SlyA	virK	Repressor
H-NS	nor	Repressor
OmpR	csgD	Repressor
RstA	csgD	Repressor
H-NS	csgD	Repressor
IHF	csgD	Repressor
StpA	hns	Repressor
StpA	ssrA	Repressor
StpA	proV	Repressor
StpA	yciG	Repressor
StpA	hilA	Repressor
StpA	rpoS	Repressor
H-NS	rpoS	Repressor
FimZ	hilA	Repressor
HilD	hilE	Repressor
PhoP	pagM	Repressor
LacI	lacI	Repressor
CsgD	nlpI	Repressor
DksA	dnaK	Repressor
RpoS	sipC	Repressor
RpoS	lacZ	Repressor
CRP	cyaA	Repressor
CRP	crp	Repressor
SlyA	flhDC	Repressor
FimW	fimW	Repressor
Hha	ssrA	Repressor
Hha	motB	Repressor
H-NS	motB	Repressor
Crl	nor	Repressor
Fis	STM2903	Repressor
Rho	corA	Repressor
Rho	mgtB	Repressor
DksA	flhDC	Repressor
DksA	fliA	Repressor
MetJ	lacZ	Repressor
MetJ	metC	Repressor
H-NS	stpA	Repressor
PhoP	slyA	Repressor
SsrB	csgD	Repressor
DksA	rpsT	Repressor
FadD	hilA	Repressor
FadR	hilA	Repressor
RtsA	hilA	Repressor
KdgR	kdgK	Repressor
KdgR	kdgT	Repressor
KdgR	eda	Repressor
FabR	fabA	Repressor
FabR	fabB	Repressor
FabR	yqfA	Repressor
CpxR	ompF	Repressor
CpxR	ompC	Repressor
CpxR	ompW	Repressor
CpxR	ompD	Repressor
CpxR	tolC	Repressor
CpxR	acrB	Repressor
CpxR	marA	Repressor
CpxR	soxS	Repressor
CpxR	glpT	Repressor
CpxR	uhpT	Repressor
HilD	ssrAB	Repressor
H-NS	hilD	Repressor
H-NS	hilC	Repressor
RtsB	flgM	Repressor
RtsB	yddX	Repressor
FliA	flgM	Repressor
FNR	pilV	Repressor
FNR	pilS	Repressor
FNR	pilT	Repressor
FimZ	flhDC	Repressor
FimZ	yqiC	Repressor
H-NS	gtgE	Repressor
H-NS	sinR	Repressor
H-NS	lpxR	Repressor
LsrR	sodA	Repressor
LsrR	sodCI	Repressor
LsrR	sodCII	Repressor
LsrR	invF	Repressor
LsrR	sicA	Repressor
LsrR	sopB	Repressor
LsrR	sopE	Repressor
LsrR	fliC	Repressor
GatR	gatR	Repressor
GatR	gatZ	Repressor
GatR	gatY	Repressor
cAMP-CRP	gatR	Repressor
MlrA	STM1703	Repressor
CsrA	nrfA	Repressor
InvF	tnpA	Repressor
HilE	hilD	Repressor
HilC	hilA	Repressor
RtsA	hilD	Repressor
HilC	invF	Repressor
HilC	tnpA	Repressor
HU	proQ	Repressor
HU	hupA	Repressor
AcrR	acrA	Repressor
AcrR	acrB	Repressor
MetJ	metF	Repressor
FimZ	flhD	Repressor
ArcA	cydA	Repressor
Fnr	hilA	Repressor
H-NS	spiR	Repressor
YdiV	STM1344	Repressor
SsrB	hilD	Repressor
SsrB	hilA	Repressor
SsrB	cat	Repressor
SsrB	invF	Repressor
SsrB	sirA	Repressor
SsrB	csrA	Repressor
SsrB	ssaG	Repressor
OmpR	hilD	Repressor
Rho	rpoS	Repressor
RamA	ramA	Repressor
LexA	sulA	Repressor
CRP	parC	Repressor
CRP	parE	Repressor
HilE	hilE	Repressor
CadC	ompR	Repressor
OmpR	cadC	Repressor
OmpR	cadB	Repressor
OmpR	flhDC	Repressor
PhoP	fliC	Repressor
LexA	lacZ	Repressor
HilD	lacZ	Repressor
HilC	lacZ	Repressor
LeuO	hilD	Repressor
LeuO	hilC	Repressor
HilE	hilC	Repressor
HilD	hilD	Repressor
HilD	hilC	Repressor
HilD	tetA	Repressor
HilC	hilC	Repressor
HilC	tetA	Repressor
CsgD	csgBA	Repressor
H-NS	csgBA	Repressor
H-NS	csgB	Repressor
CsgD	csgB	Repressor
STM4315	STM4310	Repressor
CpxR	rpoE	Repressor
CpxR	lacZ	Repressor
ArcA	arcA	Repressor
YdcI	acnB	Repressor
YdcI	icdA	Repressor
YdcI	sdhC	Repressor
YdcI	fumA	Repressor
ArcA	lacZ	Repressor
ArcA	manZ	Repressor
ArcA	ompD	Repressor
ArcA	ompF	Repressor
RtcR	malT	Repressor
OmpR	tppB	Repressor
Fnr	hilD	Repressor
SlyA	rcsB	Repressor
RcsB	rcsB	Repressor
OmpR	rpoS	Repressor
RpoS	yghA	Repressor
OmpR	speF	Repressor
OmpR	gltA	Repressor
PhoP	mgtCBR	Repressor
ArcA	lldP	Repressor
ArcA	lldR	Repressor
CpxR	hilA	Repressor
CpxR	pgtE	Repressor
PocR	hilA	Repressor
SlyA	ssrAB	Repressor
OmpR	ssrAB	Repressor
SsrB	pagK	Repressor
HypT	fhuA	Repressor
EmrR	emrA	Repressor
EmrR	emrB	Repressor
SlyA	pagD	Repressor
EmrR	pagC	Repressor
EmrR	pagD	Repressor
EmrR	emrAB	Repressor
CspE	cspE	Repressor
PhoP	hilD	Repressor
PhoP	lacZ	Repressor
PhoP	hilC	Repressor
HilD	fliZ	Repressor
FliZ	hilA	Repressor
FliZ	hilD	Repressor
FliZ	fliZ	Repressor
CpxR	csgD	Repressor
RpoS	csgD	Repressor
CRP	flhDC	Repressor
H-NS	STM3595	Repressor
Fur	clpV	Repressor
H-NS	clpV	Repressor
Fur	hns	Repressor
H-NS	sprB	Repressor
HilD	sprB	Repressor
H-NS	slrP	Repressor
H-NS	ugtL	Repressor
H-NS	yaeB	Repressor
MarA	flhDC	Repressor
Rob	flhDC	Repressor
SoxS	flhDC	Repressor
SsrB	flhDC	Repressor
MarR	ramA	Repressor
MarA	flhB	Repressor
MarA	fliC	Repressor
RamA	flhDC	Repressor
Rob	fliC	Repressor
SoxS	soxR	Repressor
MarA	add	Repressor
SoxS	add	Repressor
Rob	add	Repressor
RamA	add	Repressor
HilA	sipA	Repressor
HilA	orgB	Repressor
RamA	acrAB	Repressor
HilD	sulA	Repressor
HilC	sulA	Repressor
RtsA	sulA	Repressor
RtsA	lacZ	Repressor
OmpR	envZ	Repressor
CRP	spf	Repressor
FliZ	bamB	Repressor
IgaA	dsbA	Repressor
FliA	fliZ	Repressor
HilD	sopB	Repressor
HilE	sopB	Repressor
CsgD	fliE	Repressor
CsgD	fliFGHIJK	Repressor
FlhD	fliC	Repressor
FlhD	yhjH	Repressor
Fis	hlyE	Repressor
SlyA	hlyE	Repressor
H-NS	hlyE	Repressor
Fis	dusB	Repressor
Fis	dps	Repressor
SsrB	ugtL	Repressor
H-NS	sifB	Repressor
H-NS	sopB	Repressor
InvF	sopB	Repressor
FliA	rck	Repressor
LysR	uvrA	Repressor
LysR	katG	Repressor
FlhD	STM1697	Repressor
H-NS	mcpC	Repressor
HilD	mcpC	Repressor
FNR	rnc	Repressor
SirA	hilA	Repressor
CRP	pduA	Repressor
CRP	ptsN	Repressor
LexA	recA	Repressor
PhoP	clpS	Repressor
YeiE	STM1697	Repressor
PhoP	dsbB	Repressor
PhoP	mgtA	Repressor
PhoP	treR	Repressor
PhoP	mgtB	Repressor
PhoP	orgB	Repressor
PhoP	orgC	Repressor
PhoP	orgA	Repressor
Fur	fepA	Repressor
Fur	fhuA	Repressor
Fur	iroB	Repressor
H-NS	prgH	Repressor
HilD	prgH	Repressor
H-NS	cat	Repressor
PhoP	cheR	Repressor
RpoS	ssrA	Repressor
RpoS	ssrB	Repressor
RpoS	ssrAB	Repressor
SlyA	ssrA	Repressor
RpoS	hilD	Repressor
SlyA	hilD	Repressor
DksA	citC	Repressor
DksA	citD	Repressor
DksA	ndk	Repressor
DksA	pyrB	Repressor
DksA	sopB	Repressor
DksA	hilA	Repressor
DksA	ttrB	Repressor
DksA	ttrS	Repressor
DksA	ttrR	Repressor
DksA	orf70	Repressor
DksA	ssrA	Repressor
DksA	sseL	Repressor
